txn_date,bank_id,total_volume,total_value,avg_value,median_value,anomaly_flag
2025-09-09,BANK_5,57,127228.72,2232.08,1407.29,NORMAL
2025-09-09,BANK_2,45,113603.07,2524.51,1881.52,NORMAL
2025-09-09,BANK_3,30,68988.97,2299.63,1803.53,NORMAL
2025-09-09,BANK_1,21,44825.38,2134.54,1480.79,NORMAL
2025-09-09,BANK_4,15,27585.9,1839.06,885.16,LOW_VOLUME
2025-09-08,BANK_5,187,680483.84,3638.95,1529.6,HIGH_TOTAL_VALUE
2025-09-08,BANK_2,177,353049.4,1994.63,1489.51,NORMAL
2025-09-08,BANK_3,147,299935.21,2040.38,1453.73,NORMAL
2025-09-08,BANK_1,80,135726.48,1696.58,1353.39,NORMAL
2025-09-08,BANK_4,73,107968.23,1479.02,1252.74,NORMAL
2025-09-07,BANK_3,171,335296.98,1960.8,1440.1,NORMAL
2025-09-07,BANK_5,162,333838.98,2060.73,1217.56,NORMAL
2025-09-07,BANK_2,120,264127.22,2201.06,1712.63,NORMAL
2025-09-07,BANK_1,88,219747.52,2497.13,1878.33,NORMAL
2025-09-07,BANK_4,105,185744.53,1769.0,1261.49,NORMAL
2025-09-06,BANK_4,154,334401.14,2171.44,1320.83,NORMAL
2025-09-06,BANK_2,98,232198.06,2369.37,1581.63,NORMAL
2025-09-06,BANK_3,94,192468.55,2047.54,1474.96,NORMAL
2025-09-06,BANK_5,78,165083.17,2116.45,1457.84,NORMAL
2025-09-06,BANK_1,71,157758.56,2221.95,1416.37,NORMAL
2025-09-05,BANK_2,182,466958.21,2565.7,1106.52,NORMAL
2025-09-05,BANK_4,105,394124.95,3753.57,1074.87,NORMAL
2025-09-05,BANK_5,112,286315.01,2556.38,1968.56,NORMAL
2025-09-05,BANK_3,110,224564.29,2041.49,1428.81,NORMAL
2025-09-05,BANK_1,98,198513.97,2025.65,1445.81,NORMAL
2025-09-04,BANK_4,189,400618.46,2119.67,1378.82,NORMAL
2025-09-04,BANK_5,128,250541.03,1957.35,1379.56,NORMAL
2025-09-04,BANK_2,124,244383.98,1970.84,1462.84,NORMAL
2025-09-04,BANK_1,78,194400.77,2492.32,2105.0,NORMAL
2025-09-04,BANK_3,115,180503.45,1569.6,1110.09,NORMAL
2025-09-03,BANK_4,155,872561.55,5629.43,1387.96,HIGH_AVG_VALUE
2025-09-03,BANK_3,153,263484.51,1722.12,1172.78,NORMAL
2025-09-03,BANK_5,130,226122.27,1739.4,1143.2,NORMAL
2025-09-03,BANK_1,80,167838.85,2097.99,1457.28,NORMAL
2025-09-03,BANK_2,95,152275.36,1602.9,1187.96,NORMAL
2025-09-02,BANK_3,159,345611.19,2173.66,1528.65,NORMAL
2025-09-02,BANK_5,171,344386.24,2013.95,1542.46,NORMAL
2025-09-02,BANK_2,132,272254.01,2062.53,1356.86,NORMAL
2025-09-02,BANK_4,136,271560.55,1996.77,1478.65,NORMAL
2025-09-02,BANK_1,112,187947.14,1678.1,1189.2,NORMAL
2025-09-01,BANK_1,106,340005.12,3207.6,1273.21,NORMAL
2025-09-01,BANK_3,172,320274.11,1862.06,1445.46,NORMAL
2025-09-01,BANK_2,166,319966.11,1927.51,1375.66,NORMAL
2025-09-01,BANK_5,147,270050.37,1837.08,1194.04,NORMAL
2025-09-01,BANK_4,131,235029.73,1794.12,1258.35,NORMAL
2025-08-31,BANK_4,122,437893.79,3589.29,1282.3,NORMAL
2025-08-31,BANK_1,161,315211.56,1957.84,1279.47,NORMAL
2025-08-31,BANK_3,135,303066.98,2244.94,1397.96,NORMAL
2025-08-31,BANK_5,111,226813.67,2043.37,1342.2,NORMAL
2025-08-31,BANK_2,110,221670.39,2015.19,1255.4,NORMAL
2025-08-30,BANK_5,136,269757.13,1983.51,1592.49,NORMAL
2025-08-30,BANK_4,89,262964.51,2954.66,1939.58,NORMAL
2025-08-30,BANK_1,144,260939.02,1812.08,1314.4,NORMAL
2025-08-30,BANK_3,138,256789.46,1860.79,1472.05,NORMAL
2025-08-30,BANK_2,80,151152.05,1889.4,1102.27,NORMAL
2025-08-29,BANK_5,185,378308.81,2044.91,1513.96,NORMAL
2025-08-29,BANK_4,141,284321.72,2016.47,1448.85,NORMAL
2025-08-29,BANK_2,151,278600.66,1845.04,1229.36,NORMAL
2025-08-29,BANK_3,102,206890.14,2028.33,1303.57,NORMAL
2025-08-29,BANK_1,104,193820.96,1863.66,1150.44,NORMAL
2025-08-28,BANK_5,173,381121.69,2203.02,1716.72,NORMAL
2025-08-28,BANK_3,179,354199.36,1978.77,1369.15,NORMAL
2025-08-28,BANK_4,159,303699.34,1910.06,1312.83,NORMAL
2025-08-28,BANK_1,154,289514.9,1879.97,1186.19,NORMAL
2025-08-28,BANK_2,135,261006.21,1933.38,1545.78,NORMAL
2025-08-27,BANK_2,99,548492.87,5540.33,1263.23,HIGH_AVG_VALUE
2025-08-27,BANK_3,130,464163.31,3570.49,1038.88,NORMAL
2025-08-27,BANK_5,173,348250.48,2013.01,1219.35,NORMAL
2025-08-27,BANK_1,159,323466.28,2034.38,1289.39,NORMAL
2025-08-27,BANK_4,104,227647.93,2188.92,1554.35,NORMAL
2025-08-26,BANK_5,148,430379.05,2907.97,1341.08,NORMAL
2025-08-26,BANK_4,164,333140.94,2031.35,1329.43,NORMAL
2025-08-26,BANK_2,144,292918.78,2034.16,1350.54,NORMAL
2025-08-26,BANK_1,174,288722.54,1659.32,1065.42,NORMAL
2025-08-26,BANK_3,111,219364.39,1976.26,1235.19,NORMAL
2025-08-25,BANK_4,110,483103.31,4391.85,1500.95,NORMAL
2025-08-25,BANK_1,181,360351.98,1990.89,1464.04,NORMAL
2025-08-25,BANK_5,175,342606.41,1957.75,1295.6,NORMAL
2025-08-25,BANK_3,122,215286.03,1764.64,1113.77,NORMAL
2025-08-25,BANK_2,59,111705.11,1893.31,1587.77,NORMAL
2025-08-24,BANK_1,174,327999.54,1885.05,1157.03,NORMAL
2025-08-24,BANK_3,129,284266.64,2203.62,1693.03,NORMAL
2025-08-24,BANK_5,133,244829.24,1840.82,1436.45,NORMAL
2025-08-24,BANK_4,123,238548.68,1939.42,1355.33,NORMAL
2025-08-24,BANK_2,76,124889.88,1643.29,1138.52,NORMAL
2025-08-23,BANK_2,143,316575.3,2213.81,1534.23,NORMAL
2025-08-23,BANK_3,143,284870.93,1992.1,1219.56,NORMAL
2025-08-23,BANK_1,118,220439.41,1868.13,1485.76,NORMAL
2025-08-23,BANK_4,121,213292.15,1762.75,1084.31,NORMAL
2025-08-23,BANK_5,80,151926.51,1899.08,1356.38,NORMAL
2025-08-22,BANK_1,71,818923.26,11534.13,1574.2,HIGH_AVG_VALUE
2025-08-22,BANK_2,171,419880.22,2455.44,1563.05,NORMAL
2025-08-22,BANK_4,68,242939.69,3572.64,1292.89,NORMAL
2025-08-22,BANK_5,100,205476.5,2054.77,1228.74,NORMAL
2025-08-22,BANK_3,104,199785.26,1921.01,1259.33,NORMAL
2025-08-21,BANK_2,160,307872.02,1924.2,1494.7,NORMAL
2025-08-21,BANK_4,126,257939.78,2047.14,1479.57,NORMAL
2025-08-21,BANK_5,131,252764.78,1929.5,1481.08,NORMAL
2025-08-21,BANK_3,116,251418.68,2167.4,1717.39,NORMAL
2025-08-21,BANK_1,79,142063.91,1798.28,1194.64,NORMAL
2025-08-20,BANK_3,154,542458.07,3522.46,1507.03,HIGH_TOTAL_VALUE
2025-08-20,BANK_4,157,338636.73,2156.92,1520.17,NORMAL
2025-08-20,BANK_2,125,195166.8,1561.33,1236.52,NORMAL
2025-08-20,BANK_5,77,153011.61,1987.16,1324.45,NORMAL
2025-08-20,BANK_1,63,102421.35,1625.74,965.39,NORMAL
2025-08-19,BANK_3,124,234407.15,1890.38,1263.76,NORMAL
2025-08-19,BANK_5,105,201662.06,1920.59,1384.74,NORMAL
2025-08-19,BANK_2,91,191164.25,2100.71,1588.82,NORMAL
2025-08-19,BANK_4,94,179857.38,1913.38,1503.31,NORMAL
2025-08-19,BANK_1,63,100989.99,1603.02,1098.42,NORMAL
2025-08-18,BANK_2,78,817600.63,10482.06,1568.63,HIGH_AVG_VALUE
2025-08-18,BANK_5,128,497328.76,3885.38,1274.25,NORMAL
2025-08-18,BANK_3,175,414625.21,2369.29,1409.18,NORMAL
